LAST SEEN   TYPE      REASON             OBJECT            MESSAGE
22m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-bsjzg" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
22m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-bzp7v" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
22m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-sk858" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
22m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-ktp2l" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
22m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-s2tbh" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
22m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-dncbh" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
21m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-cfkx6" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
20m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-7jhm2" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
19m         Warning   FailedCreate       job/insee-bench   Error creating: pods "insee-bench-5mbt5" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
16m         Warning   FailedCreate       job/insee-bench   (combined from similar events): Error creating: pods "insee-bench-8tbbr" is forbidden: exceeded quota: tenant-quota, requested: limits.cpu=2500m,limits.memory=2560Mi, used: limits.cpu=2500m,limits.memory=5632Mi, limited: limits.cpu=4500m,limits.memory=6Gi
15m         Normal    SuccessfulCreate   job/insee-bench   Created pod: insee-bench-v2ggq
26s         Normal    Completed          job/insee-bench   Job completed
